	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
flgE	-0.153635	-0.237696	-0.006290	0.002632	0.003589
flgF	-0.016675	-0.133723	0.029125	-0.015329	-0.015329
flgG	-0.101813	-0.287195	-0.001940	-0.011935	0.013497
flgH	-0.038137	-0.038214	0.009478	0.025210	-0.037077
flgI	-0.041956	-0.111117	-0.024579	0.045948	-0.025292
flgJ	-0.028394	-0.121142	0.018810	0.008164	-0.028371
flgK	-0.044030	-0.044194	-0.002544	0.000330	0.002201
flgL	-0.194301	-0.277395	0.008127	-0.002739	-0.005508
yceQ	-0.003236	0.001305	0.002556	-0.000913	-0.001655
rluC	0.024698	0.000031	0.000031	0.000031	-0.000061
yceF	0.021848	-0.009038	-0.015884	0.009554	0.005897
yceD	0.016681	-0.009297	-0.000194	-0.005053	0.005186
rpmF	0.058133	0.011313	-0.008279	0.004081	0.004081
plsX	0.001615	0.000622	0.001567	-0.002199	0.000622
fabH	0.025757	-0.030207	-0.001985	0.000989	0.000989
fabD	0.040433	0.005807	-0.011852	0.005807	0.005807
fabG	-0.000784	-0.000784	-0.000784	0.003321	-0.002557
acpP	0.010379	0.000123	-0.000678	0.000555	0.000123
fabF	0.021297	-0.060886	0.001158	-0.002325	0.001158
pabC	0.006005	0.000190	0.000190	0.000190	-0.000380
yceG	-0.000266	-0.011893	0.000996	-0.000049	-0.000949
tmk	0.030856	-0.006497	0.000110	0.000110	-0.000220
holB	-0.009568	-0.028339	0.031698	-0.008287	-0.025403
ycfH	-0.012732	-0.038829	0.020413	-0.010481	-0.010674
ptsG	-0.002581	-0.019124	-0.002581	-0.002581	0.005117
fhuE	0.000511	0.000511	0.000511	0.000511	-0.001025
hinT	0.004747	-0.000168	-0.000168	0.000851	-0.000685
ycfL	0.019363	0.000133	0.001394	0.000133	-0.001532
ycfM	0.040291	-0.000886	0.000000	0.000000	0.000000
thiK	0.005781	0.000000	0.000000	0.000000	0.000000
nagZ	0.071625	0.035591	-0.046951	0.021700	0.021700
ycfP	0.012142	0.010674	0.008188	-0.025289	0.016003
ndh	-0.004503	-0.004503	-0.003766	0.008444	-0.004804
ycfJ	0.016855	0.000050	0.000599	-0.000101	-0.000499
ycfQ	-0.002790	-0.037032	-0.002126	-0.002757	0.004842
bhsA	0.236166	0.212743	-0.053811	0.013186	0.035714
ycfS	-0.007260	-0.007183	0.014622	-0.007183	-0.007816
mfd	-0.006492	-0.011357	0.021492	-0.011377	-0.010940
ycfT	0.000091	0.000126	0.000790	0.000126	-0.000918
lolC	0.017180	-0.049562	-0.001947	0.006011	-0.004129
lolD	-0.001547	-0.001721	-0.001110	0.002970	-0.001875
lolE	0.014781	-0.003494	-0.001526	0.003036	-0.001526
nagK	0.017210	-0.009740	0.023342	-0.009740	-0.014592
cobB	-0.000156	-0.002931	0.000413	-0.000257	-0.000156
ycfZ	-0.000581	-0.000465	0.000114	0.005653	-0.005844
ymfA	-0.017002	-0.015129	0.027770	-0.014312	-0.014849
potD	0.013440	0.003716	-0.021348	0.010293	0.010293
potC	0.006588	-0.048669	-0.006966	0.015132	-0.008573
potB	0.026787	-0.075192	-0.007652	0.014910	-0.007652
potA	0.046901	-0.041448	0.010232	-0.021217	0.010232
pepT	0.068237	0.000173	0.000308	0.000308	-0.000616
ycfD	0.054731	-0.010345	-0.009346	0.005012	0.004185
phoQ	-0.008106	-0.035000	0.015772	-0.008106	-0.008106
phoP	-0.001950	-0.002075	-0.001980	0.003934	-0.001980
purB	0.005700	-0.000233	0.000190	-0.000095	-0.000095
hflD	0.050497	-0.023068	0.000429	-0.000860	0.000429
mnmA	0.061020	-0.084242	-0.000321	0.000642	-0.000321
nudJ	0.026474	-0.001921	0.001344	0.001344	-0.002700
icd	0.015054	0.006692	-0.007016	0.003454	0.003478
ymfD	0.001954	0.042867	-0.005048	0.008148	-0.003218
ymfE	0.000165	0.000223	0.000223	0.000223	-0.000446
lit	0.058657	0.002460	0.002460	0.002460	-0.004962
intE	0.012366	0.000445	0.000445	0.000445	-0.000891
xisE	0.036093	-0.000159	0.000501	0.000501	-0.001004
ymfH	-0.000305	-0.000226	0.001322	-0.000226	-0.001100
ymfI	0.005091	0.004391	-0.005798	0.004391	0.001344
ymfJ	0.011850	0.000148	0.000148	-0.000295	0.000148
ymfK	-0.001357	-0.001380	0.004110	-0.001357	-0.002783
ymfT	-0.001023	-0.000428	0.000854	-0.000428	-0.000428
ymfL	-0.006121	0.038025	0.000695	-0.000401	-0.000294
ymfM	-0.000209	-0.000209	0.000417	-0.000209	-0.000209
ymfN	0.000039	0.000028	0.000426	-0.000119	-0.000307
ymfR	0.000003	0.000003	0.000523	-0.000170	-0.000353
ymfO	0.000023	-0.000048	0.000546	-0.000302	-0.000245
ymfP	0.000227	0.000050	0.000050	0.000050	-0.000100
ymfQ	-0.000364	0.016306	0.000000	0.000000	0.000000
ycfK	0.000000	-0.000591	0.000000	0.000000	0.000000
ymfS	0.000175	0.000175	0.000732	0.000175	-0.000909
tfaE	-0.010692	-0.011080	0.020758	-0.010692	-0.010835
stfE	0.000067	0.000000	0.000000	0.000000	0.000000
pinE	-0.000782	-0.000047	0.001538	-0.000047	-0.001497
mcrA	-0.000085	-0.000085	0.000464	-0.000379	-0.000085
elbA	-0.002188	-0.000319	0.001313	-0.000364	-0.000952
ycgX	-0.000148	-0.000397	0.001063	-0.000917	-0.000148
ycgE	0.041510	0.000637	0.000637	0.000637	-0.001276
ycgF	0.049076	-0.018471	0.031830	-0.017261	-0.016408
ycgZ	0.160368	0.230353	-0.035648	0.016277	0.017289
ymgA	0.211545	0.199431	-0.046253	0.043909	-0.002337
ariR	0.154307	0.006345	0.000748	0.000013	-0.000763
ymgC	0.026865	0.004108	0.000182	0.000182	-0.000364
ycgG	0.000204	0.000269	0.000204	0.000181	-0.000385
b1169	0.000974	0.000406	-0.000814	0.000406	0.000406
b1170	-0.002646	-0.002492	0.007253	-0.002492	-0.004857
ymgD	-0.030002	-0.022197	-0.022197	-0.021050	0.040262
ymgG	-0.026459	-0.020370	0.010622	0.002854	-0.013835
b1173	-0.000705	-0.000705	0.001674	-0.000705	-0.000973
minE	0.026429	-0.019182	-0.000479	0.000957	-0.000479
minD	0.052200	0.000747	-0.001498	0.000747	0.000747
minC	0.029649	0.001641	-0.002939	0.001283	0.001641
ycgJ	-0.000176	-0.000176	0.000353	-0.000176	-0.000176
ycgK	-0.003368	-0.003416	-0.005224	-0.003416	0.008512
ycgL	0.002027	-0.002160	-0.002160	-0.007199	0.009197
ycgM	0.012069	0.006331	-0.012946	0.006331	0.006331
ycgN	0.000056	0.000044	0.000044	0.000044	-0.000088
hlyE	0.000220	0.001785	0.000220	0.000220	-0.000440
umuD	-0.001752	-0.000360	0.000719	-0.000360	-0.000360
umuC	-0.000031	-0.000031	0.000561	-0.000531	-0.000031
dsbB	-0.017372	-0.153904	0.018543	-0.001958	-0.017332
nhaB	0.026852	-0.007815	0.020175	-0.012552	-0.008359
fadR	-0.008551	-0.008537	-0.008537	0.017106	-0.009087
ycgB	0.002185	0.001558	0.001558	0.001558	-0.003133
dadA	-0.000117	-0.001535	0.000456	-0.000339	-0.000117
dadX	0.007656	0.000022	0.000526	-0.000313	-0.000213
cvrA	0.046721	-0.005580	-0.004680	0.009212	-0.004680
ldcA	0.008461	-0.000400	0.000427	-0.000128	-0.000299
emtA	0.014269	0.005184	-0.010557	0.005184	0.005184
ycgR	-0.148620	-0.148142	-0.019431	-0.019431	0.036434
ymgE	0.000359	0.064044	0.000359	0.000359	-0.000718
ycgY	-0.000146	-0.000146	0.000750	0.000137	-0.000889
dhaM	0.002842	0.002842	0.012771	-0.006031	-0.007028
dhaL	0.018507	0.000173	0.000173	0.000055	-0.000228
dhaK	0.042550	0.001603	0.001603	0.001603	-0.003225
dhaR	-0.006815	-0.008138	-0.004998	-0.005272	0.010091
ycgV	0.000351	0.000219	0.000219	-0.000107	-0.000112
ychF	-0.014176	-0.014144	-0.013866	-0.013866	0.026471
pth	0.024060	0.005509	-0.028591	0.016115	0.011109
ychH	0.170405	0.012842	-0.003102	-0.005255	0.008236
ychM	0.009061	0.000007	0.000613	-0.000002	-0.000612
prs	0.083077	-0.002513	-0.001064	0.002120	-0.001064
ispE	0.044416	0.000035	0.000612	-0.000186	-0.000426
lolB	0.042666	0.005315	-0.015203	0.007158	0.007655
hemA	-0.001424	-0.013705	-0.000531	0.001948	-0.001424
prfA	-0.004656	-0.034135	0.008649	-0.004124	-0.004656
prmC	0.004878	-0.032455	0.030476	-0.023908	-0.008389
ychQ	0.006703	-0.007548	-0.013597	0.006598	0.006686
ychA	0.055466	-0.033868	0.000000	0.000000	0.000000
kdsA	0.050837	-0.023086	0.000000	0.000000	0.000000
chaA	0.000003	0.000003	0.000003	0.000003	-0.000006
chaB	0.000110	0.104481	0.000104	0.000104	-0.000208
chaC	0.079432	0.038173	0.011750	0.011750	-0.024500
ychN	0.022009	-0.001775	0.000894	0.000142	-0.001038
ychO	-0.006064	-0.006395	-0.006064	0.012936	-0.007168
narL	-0.000149	0.005617	0.000000	0.000000	0.000000
narX	-0.006737	-0.006931	0.029964	-0.006737	-0.025045
narK	-0.000052	-0.000033	0.000594	-0.000033	-0.000561
narG	-0.000059	-0.000059	0.000667	-0.000249	-0.000419
narH	-0.004153	-0.003152	0.006235	-0.003152	-0.003152
narJ	-0.000218	-0.000218	0.000686	-0.000218	-0.000469
narI	0.000256	0.019530	0.002646	-0.000628	-0.002032
ychS	-0.025021	-0.004555	-0.004151	-0.004555	0.008577
tpr	-0.053727	-0.043881	-0.004517	0.019509	-0.015743
purU	0.018467	0.009441	-0.000794	-0.003289	0.004051
ychJ	0.021661	-0.002903	0.001092	0.001092	-0.002192
rssA	0.020190	-0.035852	0.000000	0.000000	0.000000
rssB	0.045782	-0.003126	0.000000	0.000000	0.000000
galU	0.025221	0.003904	-0.011036	0.008740	0.002064
hns	0.023009	0.014297	0.001126	0.001479	-0.002617
tdk	0.043931	0.023396	0.005048	-0.010275	0.005048
ychG	-0.008432	-0.008580	-0.003343	0.011527	-0.008432
b1240	-0.001938	-0.002093	-0.000966	0.003343	-0.002398
adhE	0.071602	0.007919	0.007919	-0.016285	0.007919
ychE	-0.003029	-0.002893	-0.001667	-0.002599	0.004235
oppA	0.003660	0.001493	-0.002095	0.000594	0.001493
oppB	0.073700	0.006965	-0.014275	0.006965	0.006965
oppC	0.029626	-0.016663	-0.002606	-0.000994	0.003577
oppD	0.051483	-0.010559	-0.007374	0.008892	-0.001675
oppF	0.008954	-0.022926	0.007351	-0.003731	-0.003714
cls	0.001986	0.001986	-0.003577	0.002264	0.001290
kch	0.019082	0.041894	-0.024655	0.011940	0.011704
yciI	-0.000347	0.000000	0.000000	0.000000	0.000000
tonB	0.018310	-0.000066	0.000445	-0.000066	-0.000379
yciA	0.053701	-0.003417	-0.001679	-0.002834	0.004478
yciB	0.029531	-0.000554	0.000318	-0.000049	-0.000268
yciC	0.008212	-0.001033	0.000000	0.000000	0.000000
ompW	0.005680	0.003034	-0.005680	0.002591	0.003034
yciE	0.000199	0.001959	0.000199	0.000199	-0.000399
yciF	0.049165	0.104932	-0.002706	0.000420	0.002271
yciG	0.003045	0.000000	0.000000	0.000000	0.000000
trpA	0.003557	-0.014711	-0.001270	-0.007097	0.008229
trpB	-0.002480	-0.014607	0.002667	-0.000202	-0.002480
trpC	-0.007452	-0.016921	0.004710	0.002645	-0.007452
trpD	0.004848	-0.023736	-0.003846	-0.003846	0.007591
trpE	0.041855	-0.001482	-0.007785	-0.000784	0.008416
trpL	0.027193	-0.014586	-0.028529	0.000405	0.026388
yciV	-0.011886	-0.011916	0.032981	-0.023116	-0.011916
yciO	-0.003148	-0.038506	0.006229	-0.003148	-0.003148
yciQ	0.036602	0.000000	0.000000	0.000000	0.000000
rluB	0.011176	-0.036521	0.015129	-0.010349	-0.005200
btuR	0.008756	0.000258	0.000258	-0.000516	0.000258
yciK	-0.000087	-0.000087	0.000303	-0.000087	-0.000216
sohB	0.027722	-0.001808	0.001083	-0.002174	0.001083
yciN	0.012639	0.011137	-0.014175	0.002657	0.011137
topA	0.018625	-0.000373	-0.000233	-0.000233	0.000466
cysB	0.012796	-0.011207	-0.007470	-0.008533	0.015573
acnA	0.064616	0.027594	-0.007143	0.003528	0.003528
ribA	-0.007134	-0.008038	-0.007134	0.015921	-0.009238
pgpB	-0.000035	-0.000035	0.000596	-0.000562	-0.000035
yciS	0.028505	-0.014871	0.000000	0.000000	0.000000
yciM	0.040824	-0.000072	0.000682	-0.000072	-0.000610
pyrF	-0.011434	-0.009947	-0.009947	0.021781	-0.012686
osmB	0.028124	0.057782	-0.019007	0.011993	0.006389
yciT	-0.001385	-0.001167	-0.000612	-0.001228	0.001834
gmr	0.000078	0.000354	0.000539	-0.000227	-0.000312
rnb	0.015633	0.003496	0.001107	-0.004643	0.003496
yciW	0.130934	0.029298	-0.065289	0.029298	0.029298
fabI	0.021252	0.000000	0.000000	0.000000	0.000000
ycjD	-0.009012	-0.003478	0.012297	-0.006282	-0.006282
sapF	-0.001543	-0.001543	-0.001543	0.003683	-0.002164
sapD	-0.000783	-0.000783	-0.000783	-0.001395	0.002170
sapC	0.001338	-0.000851	0.000295	-0.000590	0.000295
sapB	0.000283	0.000060	0.000060	0.000060	-0.000121
sapA	0.042576	-0.025955	0.018141	-0.009363	-0.009363
ymjA	0.001020	0.000704	0.003399	0.001020	-0.004456
puuP	-0.005205	-0.006773	-0.004701	-0.005311	0.009842
puuD	-0.000466	-0.000483	0.000003	0.000704	-0.000708
puuR	-0.005456	-0.005456	0.011250	-0.005471	-0.006002
puuC	-0.000600	-0.000695	0.000665	-0.000130	-0.000536
puuB	-0.000171	-0.000709	0.000342	-0.000171	-0.000171
puuE	-0.008600	-0.009054	-0.008700	-0.008886	0.017070
pspF	0.000233	0.000101	0.000101	0.000101	-0.000203
pspA	-0.002066	-0.000254	0.000233	0.000020	-0.000254
pspB	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
pspC	-0.002851	-0.002851	-0.002851	-0.004764	0.007514
pspD	0.000000	0.000000	0.000000	0.000000	0.000000
pspE	0.007592	-0.000053	0.000972	-0.000053	-0.000921
ycjM	-0.001538	0.012619	0.000623	-0.000059	-0.000565
ycjN	-0.002812	-0.001558	0.004895	-0.001558	-0.003380
ycjO	-0.000086	-0.000086	0.000525	-0.000156	-0.000369
ycjP	0.000297	0.000297	0.001268	0.000297	-0.001570
ycjQ	-0.001417	0.023131	0.000000	0.000000	0.000000
ycjR	-0.008755	-0.008103	-0.007293	0.017443	-0.010696
ycjS	0.001732	0.017171	0.001732	-0.002887	0.001141
ycjT	-0.001332	-0.000468	0.001117	-0.000019	-0.001101
ycjU	0.000231	0.000231	0.001602	0.000231	-0.001839
ycjV	-0.000140	-0.000045	0.000777	-0.000045	-0.000733
ycjW	-0.005652	-0.006732	0.007897	-0.001808	-0.006210
ycjX	0.000224	0.021350	0.000224	-0.000252	0.000028
ycjF	-0.000029	0.000000	0.000000	0.000000	0.000000
tyrR	0.042284	-0.010961	-0.011140	0.005465	0.005465
tpx	0.051999	0.009212	-0.016903	0.007208	0.009212
mpaA	0.060648	0.001692	-0.003035	0.001843	0.001176
ycjY	-0.000127	-0.000127	-0.000127	0.000918	-0.000793
ycjZ	-0.000958	-0.000611	0.001218	-0.000611	-0.000611
mppA	0.001178	-0.006655	-0.005716	0.011211	-0.005716
ynaI	0.017339	0.000222	0.000222	0.000222	-0.000444
ynaJ	0.017314	-0.001856	-0.009664	0.003245	0.006255
uspE	-0.000346	-0.000304	0.000608	-0.000304	-0.000304
fnr	0.034364	-0.032642	-0.010647	0.008957	0.001465
ogt	-0.000136	-0.000271	0.001164	-0.000339	-0.000827
abgT	-0.000162	-0.000082	0.000476	0.000795	-0.001274
abgB	0.000059	0.000040	0.000408	-0.000225	-0.000184
abgA	0.014560	0.000381	0.000381	-0.000762	0.000381
abgR	-0.000805	-0.000298	0.001258	-0.000298	-0.000964
ydaL	-0.000076	-0.000076	0.000489	-0.000414	-0.000076
ydaM	0.030023	0.000061	0.000470	-0.000532	0.000061
ydaN	0.032423	0.000163	0.000163	-0.000076	-0.000087
dbpA	-0.004466	-0.003523	-0.002100	0.006919	-0.004907
ttcA	-0.023174	-0.064340	0.017895	-0.007266	-0.011206
intR	-0.013490	-0.012773	-0.012119	-0.012773	0.023871
ydaQ	-0.000274	0.000130	0.000130	0.000130	-0.000260
ydaC	0.000079	0.046410	0.000560	0.000079	-0.000640
lar	0.015006	-0.000228	0.000623	-0.000228	-0.000396
recT	-0.000200	0.045312	0.000207	-0.000414	0.000207
recE	-0.000559	0.006912	0.000546	-0.000275	-0.000271
racC	-0.007382	-0.006952	-0.006325	-0.007055	0.013079
kilR	-0.000053	0.028920	0.000477	0.000213	-0.000691
b1354	0.000126	0.000027	0.000590	-0.000432	-0.000159
ydaG	-0.001311	-0.001535	0.002930	-0.001380	-0.001565
racR	0.023124	0.023124	0.023538	-0.050797	0.023124
ydaS	-0.001767	-0.001767	-0.001767	0.004206	-0.002470
ydaT	0.000093	0.000093	0.000621	-0.000403	-0.000218
ydaU	-0.001362	0.010322	0.001172	-0.000446	-0.000729
ydaV	-0.005607	-0.005607	0.000105	0.008003	-0.008260
ydaW	-0.000146	-0.000146	0.000301	-0.000155	-0.000146
rzpR	-0.000107	-0.000040	0.000945	-0.000040	-0.000907
trkG	-0.000090	-0.000090	0.000432	-0.000342	-0.000090
b1364	0.000203	0.000203	0.000203	0.000203	-0.000407
ynaK	0.000486	0.103400	0.000312	-0.000800	0.000486
ydaY	0.000036	-0.000144	0.000536	-0.000319	-0.000218
b1367	-0.003704	0.025967	0.006936	-0.003438	-0.003582
ynaA	-0.001016	0.035079	-0.001016	-0.001016	0.002024
b1369	0.000290	0.000284	0.000284	-0.000357	0.000073
insH	0.062733	-0.015320	-0.012150	-0.006939	0.018468
b1371	0.001139	-0.000014	0.000599	-0.000014	-0.000586
stfR	-0.000029	0.000035	0.001201	0.000035	-0.001239
ynaC	0.000211	0.029935	0.000211	-0.000423	0.000211
b1374	-0.006984	-0.000328	0.000625	-0.000298	-0.000328
ynaE	-0.019659	-0.169808	0.032197	0.006194	-0.041589
ompN	-0.001580	-0.001580	-0.001580	-0.001580	0.003143
ydbK	0.055035	0.055274	0.001606	0.015953	-0.018237
hslJ	0.053758	0.137925	0.008391	0.003974	-0.012647
ldhA	0.012775	0.087889	-0.019880	0.009578	0.009640
ydbH	-0.009300	-0.008717	0.012613	0.004818	-0.018011
ynbE	-0.002213	-0.002151	-0.002151	-0.002151	0.004271
ydbL	-0.000075	-0.000201	0.000330	-0.000255	-0.000075
feaR	-0.001829	-0.001992	-0.001829	-0.001829	0.003636
feaB	0.000446	0.000446	0.000446	0.000902	-0.001351
tynA	-0.001879	0.000000	0.000000	0.000000	0.000000
maoC	-0.000119	-0.000119	0.000436	-0.000119	-0.000317
paaA	0.000038	0.000038	0.000566	0.000038	-0.000605
paaB	-0.003020	-0.000130	0.000603	0.000259	-0.000863
paaC	-0.000199	-0.000362	0.000398	-0.000199	-0.000199
paaD	-0.002387	0.016765	0.000327	-0.000164	-0.000164
paaE	-0.000213	-0.000351	0.000714	-0.000502	-0.000213
paaF	-0.000150	0.000152	0.000662	0.000152	-0.000816
paaG	-0.001842	-0.000569	0.000000	0.000000	0.000000
paaH	-0.011957	-0.011914	-0.011287	-0.011800	0.022205
paaI	-0.000234	0.000019	0.000630	0.000019	-0.000650
paaJ	-0.019883	-0.020656	0.030911	-0.020072	-0.012604
paaK	-0.000951	-0.000951	-0.000951	-0.000951	0.001895
paaX	0.023140	0.000153	0.000153	-0.000306	0.000153
paaY	0.077755	-0.001146	0.000000	0.000000	0.000000
ydbA_1	-0.001284	-0.001643	-0.001078	0.002679	-0.001613
ydbA_2	0.000155	0.000155	0.000155	0.000462	-0.000617
ydbC	-0.008735	-0.008735	-0.008293	-0.008735	0.016543
ydbD	0.000023	0.000023	0.001166	-0.000717	-0.000451
ynbA	0.000250	0.000302	0.000302	0.000191	-0.000494
ynbB	-0.013008	0.003001	-0.006720	-0.012400	0.018493
ynbC	-0.005634	-0.005364	-0.007242	-0.002954	0.010010
ynbD	-0.003933	-0.003104	0.006811	-0.003167	-0.003725
azoR	0.000137	0.000137	0.000137	0.000287	-0.000424
hrpA	0.000880	0.000880	-0.004031	0.003120	0.000880
ydcF	0.015873	-0.006092	-0.004686	-0.005889	0.010385
aldA	-0.009670	-0.000102	0.000203	-0.000102	-0.000102
gapC_2	0.075277	-0.003579	0.001661	-0.003342	0.001661
gapC_1	0.053142	0.003800	0.000059	0.000059	-0.000118
cybB	0.020039	0.018279	-0.011827	-0.007058	0.018279
ydcA	0.019739	-0.011244	0.000000	0.000000	0.000000
mokB	-0.026146	-0.019141	0.013211	-0.019141	0.005280
mdoD	0.005443	0.000101	0.000101	-0.000202	0.000101
b1425	-0.000105	-0.000105	0.000210	-0.000105	-0.000105
ydcH	0.000320	0.035740	0.000320	0.000256	-0.000577
rimL	0.004387	-0.000079	0.000433	-0.000079	-0.000355
ydcK	0.035560	0.000252	0.000252	0.000252	-0.000505
tehA	0.000000	0.000000	0.000000	0.000000	0.000000
tehB	-0.000059	-0.001977	0.000372	-0.000091	-0.000282
ydcL	0.014595	0.000452	0.000452	0.000452	-0.000904
ydcM	0.003605	0.000072	0.000072	0.000072	-0.000144
ydcN	0.050028	-0.023052	-0.005063	0.002510	0.002510
ydcP	-0.011677	-0.033906	-0.007484	-0.011677	0.018540
yncJ	-0.000741	-0.000203	0.000007	0.000492	-0.000499
b1437	-0.008631	-0.008565	-0.004997	-0.008265	0.012960
ydcQ	0.000834	0.004174	0.001147	0.000834	-0.001987
ydcR	0.015550	0.000035	0.000095	0.000095	-0.000191
ydcS	-0.001316	-0.001316	-0.001316	0.003311	-0.002014
ydcT	-0.000716	0.000784	0.000132	0.000132	-0.000264
ydcU	-0.004634	0.000000	0.000000	0.000000	0.000000
ydcW	-0.001439	-0.001439	-0.001439	0.002863	-0.001439
ydcX	0.035102	0.001862	0.003116	0.001862	-0.005022
ydcY	0.042498	0.006806	-0.019792	0.001611	0.017381
ydcZ	0.005202	-0.004412	0.008604	-0.004043	-0.004691
yncA	0.001114	0.001068	-0.002144	0.001068	0.001068
yncB	0.020949	0.005426	0.005426	0.005426	-0.011061
yncD	0.038023	-0.000043	0.000959	-0.000043	-0.000917
yncE	0.000000	-0.000061	0.000000	0.000000	0.000000
yncG	-0.000584	-0.000584	-0.000584	-0.000882	0.001462
yncH	0.004624	0.016009	0.004624	-0.009397	0.004624
rhsE	-0.005987	0.000080	0.000671	-0.000753	0.000080
b1458	-0.000110	-0.000110	0.000520	-0.000248	-0.000273
yncI	-0.006249	-0.003472	-0.003472	-0.006232	0.009539
ydcC	-0.065350	0.110237	-0.047759	-0.026833	0.065973
pptA	0.000063	0.006212	0.000063	0.000063	-0.000126
nhoA	-0.015143	-0.011658	-0.011658	0.022417	-0.011658
yddE	-0.007582	-0.007698	0.026091	-0.007698	-0.019701
narV	-0.000529	0.016719	0.000867	0.000238	-0.001107
narW	-0.000103	-0.000103	0.000238	-0.000136	-0.000103
narY	-0.000018	-0.000041	0.000663	-0.000129	-0.000535
narZ	-0.000869	-0.000816	0.000071	0.001472	-0.001549
narU	0.013182	0.060480	-0.010544	0.005178	0.005178
yddJ	-0.004714	0.017980	-0.003182	-0.003471	0.006578
yddK	-0.000888	-0.000033	0.000729	-0.000033	-0.000697
yddL	-0.016183	-0.016183	-0.016183	-0.016818	0.031232
yddG	-0.000285	0.000137	0.000862	0.000137	-0.001001
fdnH	-0.006349	-0.006401	-0.006349	-0.006349	0.012426
fdnI	0.000072	0.018297	0.000523	0.000072	-0.000595
yddM	0.012387	-0.006258	0.012842	-0.006258	-0.006875
maeA	0.067089	-0.009933	-0.000944	0.001882	-0.000944
sra	0.166780	0.167976	-0.034195	-0.004481	0.035823
osmC	0.065490	0.056850	0.003727	-0.007873	0.004040
ddpF	-0.003261	-0.004299	-0.003220	0.006369	-0.003220
ddpD	-0.000800	-0.000467	-0.000467	-0.000467	0.000933
ddpC	-0.000050	0.000766	0.000653	-0.000020	-0.000633
ddpA	-0.006655	-0.006743	-0.006655	-0.013891	0.019817
ddpX	-0.000036	-0.000036	0.001030	-0.000036	-0.000996
yddV	0.047199	-0.000878	0.001921	-0.000685	-0.001243
yddW	-0.007522	0.038909	0.003437	-0.001901	-0.001556
gadC	0.351543	0.364588	0.001725	0.000896	-0.002634
gadB	0.372907	0.356018	-0.012503	-0.000350	0.012493
pqqL	0.004714	0.037102	-0.011643	-0.012359	0.023051
yddB	-0.008098	-0.008343	-0.007111	-0.008061	0.014786
yddA	-0.002359	-0.001888	-0.001449	-0.001671	0.003104
ydeM	-0.000500	0.000014	0.000740	0.000014	-0.000755
ydeN	0.032365	-0.001039	-0.001039	-0.001207	0.002237
ydeO	0.001711	0.022770	-0.003442	0.001711	0.001711
yneN	-0.011461	-0.010236	-0.010236	0.019775	-0.010236
ydeP	0.000018	-0.000103	0.000468	-0.000103	-0.000366
ydeQ	-0.000195	-0.000195	0.000981	-0.000327	-0.000656
ydeR	-0.007584	0.007571	-0.007076	-0.007076	0.013816
ydeS	-0.004477	-0.000171	0.000342	-0.000171	-0.000171
ydeT	-0.000256	-0.000187	0.000688	-0.000187	-0.000502
yneL	0.000024	0.000112	0.000659	0.000112	-0.000773
hipB	-0.000161	-0.000395	0.000322	-0.000161	-0.000161
ydeU	-0.022293	-0.022512	0.041140	-0.022130	-0.022130
ydeK	-0.006429	-0.005658	-0.005658	-0.005658	0.011100
lsrK	-0.032770	0.018859	-0.004337	-0.004638	0.008838
lsrR	0.000462	0.015285	0.000277	0.000025	-0.000302
lsrA	0.000010	0.000010	0.000616	0.000010	-0.000627
lsrC	-0.000286	-0.000211	0.000422	-0.000211	-0.000211
lsrD	0.016613	-0.000314	0.000000	0.000000	0.000000
lsrB	-0.000663	0.009076	0.000494	0.000329	-0.000824
lsrF	-0.003167	-0.003517	-0.002535	-0.003167	0.005647
lsrG	-0.000515	-0.000100	0.000457	-0.000100	-0.000357
tam	0.000328	0.000118	0.000118	-0.000237	0.000118
yneE	-0.000901	-0.000901	0.002406	-0.000901	-0.001516
uxaB	-0.000769	-0.000160	0.000864	-0.000160	-0.000705
yneF	-0.000244	-0.000276	0.002657	-0.000276	-0.002395
yneH	0.059747	-0.013314	0.000058	0.000058	-0.000115
sad	0.086493	0.001022	0.001466	0.000735	-0.002209
yneJ	0.000547	0.000547	0.001657	0.000547	-0.002213
ydeA	0.015955	0.002884	0.000387	-0.000209	-0.000178
marR	0.055669	0.008803	0.004471	0.003912	-0.008506
marA	0.261808	0.213483	0.024438	0.010173	-0.036960
marB	0.008805	0.001166	0.001702	0.001166	-0.002882
eamA	0.017332	0.004111	-0.005974	0.004111	0.001799
ydeE	-0.003708	-0.002943	-0.002401	-0.002529	0.004888
ydeH	0.018374	-0.000399	-0.000399	0.001992	-0.001600
ydeI	0.032841	0.005763	-0.001090	-0.000486	0.001572
ydeJ	0.000000	0.002369	0.000000	0.000000	0.000000
dcp	0.008288	-0.000096	0.000158	-0.000317	0.000158
ydfG	0.053718	-0.041534	-0.000906	0.000453	0.000453
ydfH	0.000062	-0.000891	0.000396	-0.000105	-0.000291
ydfZ	-0.005440	-0.005440	0.011443	-0.005440	-0.006234
b1543	-0.000023	0.002948	0.000454	-0.000432	-0.000023
ydfN	-0.000956	-0.000956	0.002369	-0.001144	-0.001235
ydfO	0.000313	0.006525	0.000395	0.000395	-0.000791
gnsB	-0.002652	-0.001072	-0.000792	0.001548	-0.000761
ynfN	-0.001873	-0.001943	0.004716	-0.002812	-0.001943
